;coeditor1;coeditor2;count
24;Herman;Pelckmans;12
2;Hasquin;Mortier;9
166;Biard;Leuwers;5
464;Herman;Peeters;4
494;Bardet;Ruggiu;4
1203;McCallam;Pratt;4
963;Faggion;Regina;4
165;Biard;Bourdin;4
732;Berchtold;Martin;4
197;Porret;Rosset;4
559;Donato;Lüsebrink;4
465;Peeters;Pelckmans;4
406;Lüsebrink;Mix;3
1219;Lefrère;Pierssens;3
574;Duranton;Rétat;3
363;Leduc;Rioux-Beaulne;3
549;Fayet;Porret;3
44;Cointre;Rivara;3
357;Cook;Plagnol-Diéval;3
1422;Ferrone;Roche;3
0;Didier;Neefs;3
302;Marimoutou;Racault;3
1664;Lüsebrink;Reichardt;3
530;Garnot;Lemesle;3
167;Bourdin;Leuwers;3
193;Baczko;Porret;3
194;Baczko;Rosset;3
195;Baczko;lacollaborationde MirjanaFarkas;3
196;Baczko;Majeur;3
198;Porret;lacollaborationde MirjanaFarkas;3
199;Majeur;Porret;3
200;Rosset;lacollaborationde MirjanaFarkas;3
201;Majeur;Rosset;3
2133;Rieger;Vickermann-Ribémont;3
202;Majeur;lacollaborationde MirjanaFarkas;3
25;Herman;Rosset;3
27;Pelckmans;Rosset;3
518;Bachofen;Bernardi;3
10;Barbier;Varry;3
973;Merle;Sánchez;2
1261;Bourel;Porset;2
978;Clément;Thoraval;2
1263;Diaz;Siess;2
977;Bisaro;Thoraval;2
976;Bisaro;Clément;2
1107;Bonnel;Rubinger;2
974;Jettot;Sánchez;2
1120;Cossutta;Delormas;2
972;Jettot;Merle;2
1260;Auroux;Porset;2
1273;Bullard;Tadié;2
654;Plagnol-Diéval;Quéro;2
2504;Desprès;Gómez;2
1810;Kirschleger;Martin-Ulrich;2
1104;Raux;Schneider;2
259;Lafarga;Pegenaute;2
258;Santa;Solé;2
1809;Barros;Martin-Ulrich;2
1259;Auroux;Bourel;2
2173;Bernier;Lüsebrink;2
995;Gengoux;Paganini;2
621;Parent-Charon;Varry;2
622;Desroussilles;Jolly;2
623;Desroussilles;Varry;2
624;Jolly;Varry;2
996;Bourdin;Loubinoux;2
2462;Parkin;Phillips;2
1689;Giron-Panel;Serre;2
994;Bianchi;Paganini;2
1258;Edelstein;Matytsin;2
993;Bianchi;Gengoux;2
303;Bournonville;Duflo;2
1808;Barros;Kirschleger;2
990;Carré;Reid;2
297;Adrien;Percival;2
291;Chantal;Mercier;2
979;Montandon;Véga-Ritter;2
669;Henn;Pausch;2
673;Basch;Chuvin;2
2172;Bernier;Donato;2
692;Cooper-Richet;Vicens-Pujol;2
695;Bercegol;Genand;2
696;Bercegol;Lotterie;2
697;Genand;Lotterie;2
698;Arnold;Dougnac;2
699;Arnold;Geoffroy;2
700;Arnold;Piguet;2
701;Dougnac;Geoffroy;2
702;Dougnac;Piguet;2
206;Martin;Séité;2
488;Choudhury;Watkins;2
2305;Canovas;Wetsel;2
496;Carey;Greenfield;2
497;Carey;Milne;2
498;Greenfield;Milne;2
1824;Horn;Russell-Watts;2
1086;Bödeker;Steinbrügge;2
1087;Hanrahan;Pierse;2
693;Lethuillier;Parsis-Barubé;2
1315;Wilson-Chevalier;zum Kolk;2
619;Desroussilles;Parent-Charon;2
221;Doig;Medlin;2
1641;Diaz;Meier;2
674;Favier;Hache;2
1103;Kirchner;Schneider;2
1102;Kirchner;Raux;2
487;Armenteros;Lebrun;2
1637;Greilich;Lüsebrink;2
1938;Escalle;Strien-Chardonneau;2
237;Casado;de Diego;2
1632;Kölving;Mervaud;2
235;Despoix;Fetscher;2
233;Fourcade;Zupanov;2
1940;Hammond;Moriarty;2
1941;Hunkeler;Jeanneret;2
943;Bernat;Gabriel;2
1311;Ledbury;Wellington;2
225;Berchtold;Porret;2
224;Bessire;Reid;2
620;Jolly;Parent-Charon;2
1230;Brockliss;Robertson;2
319;Seth;Wauters;2
426;Paschoud;Pelckmans;2
2272;Kuizenga;Winn;2
1836;Guiderdoni-Bruslé;Kremer;2
550;Fluckiger;Porret;2
551;Fayet;Fluckiger;2
554;Col;Ingram;2
555;Rioux;Sirinelli;2
1835;Dekoninck;Kremer;2
560;Fornasiero;West-Sooby;2
1861;Ionescu;Schellenberg;2
1862;Lucioli;Sanson;2
407;Lüsebrink;Mollier;2
471;Main;Stafford;2
405;Burrows;Roe;2
1041;Blanc;Desmedt;2
1753;Hersant;Ramond;2
1751;Fowler;Weller;2
1750;Baldwin;Weller;2
425;Herman;Paschoud;2
427;Paschoud;Rosset;2
1121;Cossutta;Maingueneau;2
2274;Hugueny-Léger;Verdier;2
1122;Delormas;Maingueneau;2
1797;Dippel;Scheuer;2
526;Fiasson;Fournier;2
525;Fiasson;Garzon;2
450;Clerc;Kohlhauer;2
449;Barthélémy;Kohlhauer;2
448;Barthélémy;Clerc;2
524;Fournier;Garzon;2
447;Bouvier;Kohlhauer;2
446;Bouvier;Clerc;2
